Down;Data wydania wyroku;sygnatura akt;Nazwa i siedziba sˆdu, kt—ry wyda¸ wyrok;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POWîD;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POZWANI;Postanowienie wzorca umowy uznane za niedozwolone;Data dokonania wpisu;Uwagi (wszelkie wpisy dodatkowe);Branıa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;27 lis 02;Sygn. Akt. XVII Amc 56/01;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w Bielsku Bia¸ej;"Pozwany: Towarzystwo Finansowe PRESTIGE Sp. z o.o. z siedzibˆ w Katowicach (obecnie: Towarzystwo Wspierania Przedsi«biorczoæci ""Inwestor"" Sp. z o.o. z siedzibˆ w Katowicach";"1. W ciˆgu trzech miesi«cy, liczˆc od terminu zakoÄczenia planu ratalnego, Prestige dokona ostatecznej likwidacji grupy. 2. Fundusze jakie ewentualnie pozostanˆ po likwidacji grupy zostanˆ przeznaczone na: a) pokrycie strat powsta¸ych w grupie z powod—w niezawinionych przez Prestige (np. niemoınoæ wyegzekwowania zad¸uıenia od Uczestnik—w Grupy lub por«czycieli), b) wyp¸at« rat podstawowych Uczestnikom Grupy, kt—rym nie zosta¸ przydzielony Towar, a kt—rzy zrezygnowali lub zostali wykluczeni, zgodnie z zasadami okreælonymi w art. 14 i art. 15. 3. Jeıeli b«dˆce w dyspozycji Prestige ærodki finansowe b«dˆ niewystarczajˆce dla ca¸kowitego zaspokojenia wierzytelnoæci w powyıszej kolejnoæci p¸atnoæci, naleınoæci dokonywane b«dˆ proporcjonalnie do wysokoæci wp¸at kaıdego Uczestnika Grupy. 4. Jakiekolwiek zmniejszenie si« funduszu grupy, wywo¸ane przez zad¸uıenia nie uwzgl«dnione w tej Umowie, a niezaleıne od Prestige, b«dzie obciˆıa¸o proporcjonalnie Uczestnik—w Grupy.""";25 mar 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;27 lis 02;Sygn. Akt. XVII Amc 56/01;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w Bielsku Bia¸ej;"Pozwany: Towarzystwo Finansowe PRESTIGE Sp. z o.o. z siedzibˆ w Katowicach (obecnie: Towarzystwo Wspierania Przedsi«biorczoæci ""Inwestor"" Sp. z o.o. z siedzibˆ w Katowicach";"""Wst«pujˆcy, kt—ry odst«puje od Umowy przed utworzeniem Grupy, traci op¸at« wst«pnˆ.""";25 mar 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;27 lis 02;Sygn. Akt. XVII Amc 56/01;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w Bielsku Bia¸ej;"Pozwany: Towarzystwo Finansowe PRESTIGE Sp. z o.o. z siedzibˆ w Katowicach (obecnie: Towarzystwo Wspierania Przedsi«biorczoæci ""Inwestor"" Sp. z o.o. z siedzibˆ w Katowicach";"""W przypadku, gdy w ciˆgu dw—ch (2) kolejnych miesi«cy nie zostanie zebrany fundusz grupy, pozwalajˆcy na przydzia¸ Towaru, Prestige upowaınione jest do wstrzymania akt—w asygnacyjnych i przystˆpienia do przedterminowej likwidacji danej grupy lub do podj«cia innego rozwiˆzania, kt—re najlepiej pos¸uıy interesom grupy i umoıliwi dalsze funkcjonowanie w programie Uczestnikom Grupy, kt—rzy wype¸nili terminowo swoje zobowiˆzania.""";25 mar 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;27 lis 02; Sygn. Akt. XVII Amc 56/01;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w Bielsku Bia¸ej ;"Pozwany: Towarzystwo Finansowe PRESTIGE Sp. z o.o. z siedzibˆ w Katowicach (obecnie: Towarzystwo Wspierania Przedsi«biorczoæci ""Inwestor"" Sp. z o.o. z siedzibˆ w Katowicach";"""W sytuacjach nieprzewidzianych w niniejszej Umowie decyzje podejmuje Prestige w formie zarzˆdzenia.""";25 mar 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;03 pa 01;Sygn.akt.XVII Amc 18/01;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Ma¸gorzata P«kala-Pisz i Stanis¸aw Pisz;Pozwany: Auto Plan Sp. z o.o. w Warszawie;"""W przypadku, gdyby Klient podpisa¸ Umow« i zrezygnowa¸ z uczestnictwa w Systemie zanim otrzyma informacj« o przynaleınoæci do grupy, a wi«c przed wp¸aceniem pierwszej raty, Sp—¸ka przyjmuje jego rezygnacj« zatrzymujˆc op¸at« wst«pnˆ, kt—ra w ıadnym przypadku nie podlega zwrotowi""";22 kwi 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;31 sty 03; Sygn. akt XVII Amc 31/02;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w S¸upcy;"Pozwany: S¸awomir Braszka, prowadzˆcy dzia¸alnoæ gospodarczˆ pod firmˆ Przedsi«biorstwo Remontowo-Budowlane ""REMO-BUD"" w Gnienie";"""W wypadku rezygnacji przez zamawiajˆcego z wykonania us¸ugi przez przyjmujˆcego zlecenie ewentualnie uniemoıliwienie przystˆpienia do wykonania us¸ugi, strony zgodnie ustalajˆ, ıe przedp¸ata gwarancyjna nie zostanie zwr—cona.""";30 cze 03;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;31 sty 03; Sygn. akt XVII Amc 31/02;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w S¸upcy;"Pozwany: S¸awomir Braszka, prowadzˆcy dzia¸alnoæ gospodarczˆ pod firmˆ Przedsi«biorstwo Remontowo-Budowlane ""REMO-BUD"" w Gnienie";"""Przyjmujˆcy zam—wienie zastrzega sobie moıliwoæ op—nienia realizacji wykonania us¸ugi"".";30 cze 03;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;31 sty 03;Sygn. akt XVII Amc 31/02;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w S¸upcy;" Pozwany: S¸awomir Braszka, prowadzˆcy dzia¸alnoæ gospodarczˆ pod firmˆ Przedsi«biorstwo Remontowo-Budowlane ""REMO-BUD"" w Gnienie";"""Wszelkie spory wynik¸e na tle zawartej umowy podlegajˆ wy¸ˆcznoæci sˆdu powszechnego dla siedziby firmy przyjmujˆcej zam—wienie.""";30 cze 03;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;19 mar 03; Sygn. akt XVII Amc 55/02;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;"Pozwany: Elıbieta UznaÄska prowadzˆca dzia¸alnoæ gospodarczˆ pod nazwˆ Pralnia Ekologiczna ""BETTY CLEAN"" w Krakowie";"""Za rzeczy zaginione lub zniszczone z winy Zak¸adu, odpowiada on w wysokoæci 10-cio krotnej wartoæci tejıe us¸ugi"".";30 cze 03;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;19 mar 03; Sygn. akt XVII Amc 21/02;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Domicela Olsz—wka;"Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ""InCo"" Sp. z o.o. w Tychach ";"""W czasie likwidacji grupy okreælonej w art. 19, po potrˆceniu naleınych ""InCo"" koszt—w administracyjnych (zgodnie z art. 6 ust. 7)"".";30 cze 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;19 mar 03; Sygn. akt XVII Amc 21/02;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Domicela Olsz—wka; ";"Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ""InCo"" Sp. z o.o. w Tychach";"""W ciˆgu trzech miesi«cy liczˆc od terminu zakoÄczenia planu ratalnego ""InCo"" dokona ostatecznej likwidacji grupy.""";30 cze 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;19 mar 03; Sygn. akt XVII Amc 21/02;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Domicela Olsz—wka;"Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ""InCo"" Sp. z o.o. w Tychach";"""W czasie likwidacji grupy okreælonej w art. 19, po potrˆceniu naleınych ""InCo"" koszt—w administracyjnych (zgodnie z art. 6 ust. 7)"".";30 cze 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;19 mar 03;Sygn. akt XVII Amc 21/02;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Domicela Olsz—wka;"Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ""InCo"" Sp. z o.o. w Tychach";"""W sytuacjach nieprzewidzianych w niniejszej Umowie, decyzj« podejmuje ""InCo"" w formie zarzˆdzenia"".";30 cze 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;26 mar 03;Sygn. akt. XVII Amc 16/02;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Leszek Samsel;"Pozwany: ""Ins-Bud"" Zar«bski i Waækiewicz Sp—¸ka Jawna w Nidzicy";"""Uprawnienia z tytu¸u gwarancji sˆ bezwzgl«dnie zwiˆzane z prawem w¸asnoæci i powstajˆ w momencie uregulowania wszelkich p¸atnoæci zwiˆzanych z dostarczonym towarem."" oraz ""Bieg gwarancji rozpoczyna si« z chwilˆ dokonania odbioru, jednakıe jakiekolwiek uprawnienia z tytu¸u gwarancji powstajˆ i mogˆ by wykonane dopiero po uiszczeniu przez Kupujˆcego wszystkich naleınoæci na rzecz Sprzedajˆcego.""";30 cze 03;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;10 kwi 02;Sygn. akt XVII Amc 15/01;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w Starostwie Powiatowym w åwidnicy;" Pozwany: ""Holimark"" Sp. z o.o. z siedzibˆ we Wroc¸awiu";"""Strony zgodnie ustalajˆ, ıe nabywca moıe odstˆpi od umowy, w terminie 3 dni od daty jej zawarcia, z jednoczesnˆ zap¸atˆ odst«pnego oraz z zachowaniem formy pisemnej, pod rygorem niewaınoæci. Wysokoæ odst«pnego wynosi 15 % ceny umownej wymienionej w pkt 1 zasad wykupienia. W przypadku odstˆpienia od umowy, ceny promocyjne i obniıki, o kt—rych mowa w pkt 3 zasad wykupienia, nie majˆ zastosowania. Sprzedajˆcemu przys¸uguje prawo do zaliczenia dokonanych juı wp¸at na poczet odst«pnego.""";30 cze 03;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;02 gru 02;Sygn. Akt XVII Amc 58/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Antymonopolowy;Pow—d: Powiatowy Rzecznik Konsument—w w  Bielsku-Bia¸ej;Pozwany: Polska Grupa Kapita¸owa ãKredytÓ Sp. z o.o. z siedzibˆ w Krakowie;ã1. W ciˆgu trzech miesi«cy liczˆc od terminu zakoÄczenia planu ratalnego PGK Kredyt dokona ostatecznej likwidacji grupy. 2. Fundusze jakie ewentualnie pozostanˆ po likwidacji grupy zostanˆ przeznaczone na: pokrywanie strat powsta¸ych w grupie z powod—w niezawinionych przez PGK Kredyt (np. niemoıliwoæ wyegzekwowania zad¸uıenia od uczestnik—w grupy lub por«czycieli) wyp¸at« rat podstawowych Uczestnikom Grupy, kt—rym nie zosta¸ przydzielony Towar, a kt—rzy zrezygnowali lub zostali wykluczeni zgodnie z zasadami okreælonymi w ¤ 14 i ¤ 15.3. Jeıeli b«dˆce w dyspozycji PGK Kredyt ærodki finansowe, b«dˆ niewystarczajˆce dla ca¸kowitego zaspokojenia wierzytelnoæci w powyıszej kolejnoæci p¸atnoæci, naleınoæci regulowane b«dˆ proporcjonalnie do wysokoæci wp¸at, kaıdego uczestnika grupy.  4. Jakiekolwiek zmniejszenie si« funduszy grupy, wywo¸ane przez zdarzenia nie przewidziane w niniejszej umowie, a niezaleıne od PGK Kredyt, b«dzie obciˆıa¸o proporcjonalnie Uczestnik—w Grupy.Ó;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;02 gru 02; Sygn. Akt XVII Amc 58/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Antymonopolowy;Pow—d: Powiatowy Rzecznik Konsument—w w  Bielsku-Bia¸ej;Pozwany: Polska Grupa Kapita¸owa ãKredytÓ Sp. z o.o. z siedzibˆ w Krakowie;ãUczestnik Grupy, kt—remu nie przydzielono jeszcze towaru, moıe wystˆpi z grupy w dowolnym czasie pod warunkiem, ıe nie zalega w p¸atnoæciach rat i powiadomi o swym zamiarze PGK. Uczestnik Grupy otrzyma zwrot wp¸aconych rat podstawowych, bez waloryzacji i oprocentowania w czasie likwidacji grupy okreælonym w ¤ 19, po potrˆceniu naleınych PGK Kredyt koszt—w administracyjnych oraz op¸aty wst«pnej.Ó;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;02 gru 02; Sygn. Akt XVII Amc 58/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Antymonopolowy;Pow—d: Powiatowy Rzecznik Konsument—w w  Bielsku-Bia¸ej;Pozwany: Polska Grupa Kapita¸owa ãKredytÓ Sp. z o.o. z siedzibˆ w Krakowie;ãW przypadku gdyby w danym akcie asygnacyjnym ærodki wp¸acone tworzˆce fundusz, nie wystarczy¸y na przydzia¸ jednego towaru, w—wczas zebrana kwota zostanie przeniesiona na nast«pny akt asygnacyjny zasilajˆc fundusz grupy. W przypadku gdy w ciˆgu dw—ch kolejnych miesi«cy nie zostanie zebrany fundusz grupy, pozwalajˆcy na przydzia¸ Towaru, PKG Kredyt upowaınione jest do wstrzymania  akt—w asygnacyjnych i przystˆpienia do przedterminowej likwidacji grupy lub do podj«cia innego rozwiˆzania, kt—re najlepiej pos¸uıy interesom grupy i umoıliwi dalsze funkcjonowanie w programie Uczestnikom Grupy, kt—rzy terminowo wype¸nili swoje zobowiˆzaniaÓ.;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;02 gru 02;Sygn. Akt XVII Amc 58/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Antymonopolowy;Pow—d: Powiatowy Rzecznik Konsument—w w  Bielsku-Bia¸ej;Pozwany: Polska Grupa Kapita¸owa ãKredytÓ Sp. z o.o. z siedzibˆ w Krakowie;ãW sytuacjach nie przewidzianych w niniejszej Umowie decyzje podejmuje PGK Kredyt w formie zarzˆdzeniaÓ.;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;04 lut 03; Sygn. Akt XVII Amc 8/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Antymonopolowy;Pow—d: Andrzej Krasuski;Pozwany: Bien Haus Polska Sp. z o.o. z siedzibˆ w üomiankach;ãPo up¸ywie terminu gwarancji sta¸ej ceny, cena zwi«ksza si« o 1% za kaıdy nast«pny rozpocz«ty miesiˆc do momentu spe¸nienia przez Klienta warunk—w okreælonych w ¤ 4.Ó;14 sie 03;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;04 lut 03;Sygn. Akt XVII Amc 8/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Antymonopolowy;Pow—d: Andrzej Krasuski;Pozwany: Bien Haus Polska Sp. z o.o. z siedzibˆ w üomiankach;ãJeæli Klient wypowie umow« przed spe¸nieniem warunk—w okreælonych w ¤ 4 niniejszej Umowy, to ponosi on nast«pujˆce koszty: - 5% wartoæci umowy, a ponadto 3% wartoæci za wykonanie dokumentacji architektoniczno-budowlanej oraz 0,5 % wartoæci kontraktu za wykonanie dokumentacji warsztatowej o ile te prace zosta¸y wykonane.Ó;14 sie 03;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;13 lut 03; Sygn. Akt XVII Amc 6/02;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w Nowym Sˆczu na rzecz Wandy CzyszczoÄ;Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ãInCoÓ Sp. z o.o. z siedzibˆ w Tychach;ãKoszty administracyjne Ğ jest to op¸ata wyraıona procentowo w stosunku do wybranego zestawu kwotowego, okreælona na pierwszej stronie umowy, pobierana przez InCo na obs¸ug« i administracj« systemu, miesi«cznie w postaci tzw. op¸aty administracyjnej lub w przypadkach zawartych w art. 15 i art. 16 Og—lnych Warunk—w Umowy jednorazowo w pe¸nej wysokoæci. W przypadkach zawartych w art. 15 i art. 16 Og—lnych Warunk—w umowy wysokoæ tych koszt—w nie moıe by wyısza od sumy miesi«cznych rat podstawowych wp¸aconych przez Cz¸onka Grupy.Ó;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;13 lut 03;Sygn. Akt XVII Amc 6/02;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w Nowym Sˆczu na rzecz Wandy CzyszczoÄ;Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ãInCoÓ Sp. z o.o. z siedzibˆ w Tychach;ãI. Cz¸onek grupy, kt—remu nie przydzielono jeszcze Towaru moıe wystˆpi z grupy w dowolnym czasie pod warunkiem, ıe nie zalega w p¸atnoæciach rat i powiadomi InCo o swojej decyzji w formie pisemnej. II. Cz¸onek Grupy uzyska zwrot wp¸aconych rat podstawowych (bez waloryzacji i oprocentowania) w czasie likwidacji grupy okreælonej w art. 19, po potrˆceniu naleınych InCo koszt—w administracyjnych Ğ zgodnie z art. 6 ust. 7, op¸aty wst«pnej oraz koszt—w ubezpieczeniowych.Ó;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;11 mar 03; Sygn. Akt XVII Amc 22/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Antymonopolowy;Pow—d: Janusz W—jcik i Marianna W—jcik; Pozwany: Holiday Travel Center Sp. z o.o. z siedzibˆ w Warszawie;ãW takim przypadku na kupujˆcego na¸oıona zostanie kara umowna sk¸adajˆca si« z dotychczas wniesionych op¸at, nie niısza jednak niı 30% sumy okreælonej w ãUmowie Sprzedaıy TimeshareÓ w rubryce ãCena bez rabatuÓ.;14 sie 03;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;11 mar 03; Sygn. Akt XVII Amc 22/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Antymonopolowy;Pow—d: Janusz W—jcik i Marianna W—jcik; Pozwany: Holiday Travel Center Sp. z o.o. z siedzibˆ w Warszawie;ãW przypadku niemoınoæci rozstrzygni«cia sporu na drodze porozumienia stron, strony niniejszym wyraıajˆ zgod«  na wy¸ˆczenie w¸aæciwoæci Sˆd—w powszechnych i poddajˆ si« orzecznictwu Sˆdu Arbitraıowego przy Krajowej Izbie Gospodarczej w Warszawie ul Tr«backa 4 zgodnie z regulaminem tego Sˆdu. Postanowienie to ma moc zapisu na Sˆd polubowny.Ó;14 sie 03;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;10 kwi 03;Sygn. Akt XVII Amc 17/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Wyısza Szko¸a Hotelarstwa i Gastronomii w Poznaniu;ãCzesne w nast«pnych latach studi—w moıe ulec zmianie w zwiˆzku z uzasadnionym wzrostem koszt—w ponoszonych przez uczelni« i zostanie ustalone przez rektora zarzˆdzeniem wiˆıˆcym strony umowy przed rozpocz«ciem nowego roku akademickiegoÓ.;14 sie 03;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;27 cze 03; Sygn. Akt XVII Amc 50/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ãInCoÓ Sp. z o.o. z siedzibˆ w Tychach;ãW przypadku zaprzestania produkcji, importu wybranego towaru, obowiˆzkiem Cz¸onka Grupy jest powiadomienie InCo o dokonaniu zamiany wybranego towaru na inny towar.Ó;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;27 cze 03; Sygn. Akt XVII Amc 50/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w; Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ãInCoÓ Sp. z o.o. z siedzibˆ w Tychach;ãCz¸onek Grupy, kt—ry nie otrzyma¸ przydzia¸u Towaru moıe dokona za zgodˆ InCo zmiany zestawu z niıszego na wyıszy (nie odwrotnie).Ó;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;27 cze 03; Sygn. Akt XVII Amc 50/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w; Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ãInCoÓ Sp. z o.o. z siedzibˆ w Tychach;ãWst«pujˆcy, kt—ry odst«puje od umowy przed utworzeniem grupy, traci op¸at« wst«pnˆ.Ó;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;27 cze 03; Sygn. Akt XVII Amc 50/01;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Mi«dzynarodowa Korporacja Gospodarcza ãInCoÓ Sp. z o.o. z siedzibˆ w Tychach;ãKoszty administracyjne (É) w przypadkach zawartych w art. 15 i art. 16 Og—lnych Warunk—w Umowy jednorazowo w pe¸nej wysokoæci.Ó;14 sie 03;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
